,RM02/0001,RM02/0002,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
24,False,True,2016,1,2016-01-31,alkalis,0.4095,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,9.29,52.31,9.5,56.88,0.408,0.4553333333333333,0.463,0.46875,0.46,0.46666666666666673,0.44166666666666665,0.4466666666666666,0.4466666666666667,0.44375000000000003,0.4466666666666666,0.4466666666666667
25,True,False,2016,1,2016-01-31,alkalis,0.17838095238095236,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,9.29,52.31,9.5,56.88,0.17631250948621932,0.1787675496479239,0.17949620293301624,0.1806401610564079,0.18213637049509757,0.18038888888888888,0.18317647058823527,0.18436363636363637,0.17104544082177392,0.16929995493528976,0.16949999056674964,0.16827268610867652
26,False,True,2016,2,2016-02-29,alkalis,0.382,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,9.29,52.31,0.4095,0.408,0.4553333333333333,0.463,0.46875,0.46,0.46666666666666673,0.44166666666666665,0.4466666666666666,0.4466666666666667,0.44375000000000003,0.4466666666666666
27,True,False,2016,2,2016-02-29,alkalis,0.17263411072246584,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,9.29,52.31,0.17838095238095236,0.17631250948621932,0.1787675496479239,0.17949620293301624,0.1806401610564079,0.18213637049509757,0.18038888888888888,0.18317647058823527,0.18436363636363637,0.17104544082177392,0.16929995493528976,0.16949999056674964
28,False,True,2016,3,2016-03-31,alkalis,0.38499999999999995,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,0.382,0.4095,0.408,0.4553333333333333,0.463,0.46875,0.46,0.46666666666666673,0.44166666666666665,0.4466666666666666,0.4466666666666667,0.44375000000000003
29,True,False,2016,3,2016-03-31,alkalis,0.17490347863160002,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,0.17263411072246584,0.17838095238095236,0.17631250948621932,0.1787675496479239,0.17949620293301624,0.1806401610564079,0.18213637049509757,0.18038888888888888,0.18317647058823527,0.18436363636363637,0.17104544082177392,0.16929995493528976
30,False,True,2016,4,2016-04-30,alkalis,0.4106666666666667,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,0.38499999999999995,0.382,0.4095,0.408,0.4553333333333333,0.463,0.46875,0.46,0.46666666666666673,0.44166666666666665,0.4466666666666666,0.4466666666666667
31,True,False,2016,4,2016-04-30,alkalis,0.18021052631578946,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,0.17490347863160002,0.17263411072246584,0.17838095238095236,0.17631250948621932,0.1787675496479239,0.17949620293301624,0.1806401610564079,0.18213637049509757,0.18038888888888888,0.18317647058823527,0.18436363636363637,0.17104544082177392
32,False,True,2016,5,2016-05-31,alkalis,0.42166842375,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,0.4106666666666667,0.38499999999999995,0.382,0.4095,0.408,0.4553333333333333,0.463,0.46875,0.46,0.46666666666666673,0.44166666666666665,0.4466666666666666
33,True,False,2016,5,2016-05-31,alkalis,0.1864437268490566,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,0.18021052631578946,0.17490347863160002,0.17263411072246584,0.17838095238095236,0.17631250948621932,0.1787675496479239,0.17949620293301624,0.1806401610564079,0.18213637049509757,0.18038888888888888,0.18317647058823527,0.18436363636363637
