,RM10/0001,RM10/0002,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,PPOILUSDM_1,Electricity_1,PNGASEUUSDM_2,PPOILUSDM_2,Electricity_2,PNGASEUUSDM_3,PPOILUSDM_3,Electricity_3,PNGASEUUSDM_4,PPOILUSDM_4,Electricity_4,PNGASEUUSDM_5,PPOILUSDM_5,Electricity_5,PNGASEUUSDM_6,PPOILUSDM_6,Electricity_6,PNGASEUUSDM_7,PPOILUSDM_7,Electricity_7,PNGASEUUSDM_8,PPOILUSDM_8,Electricity_8,PNGASEUUSDM_9,PPOILUSDM_9,Electricity_9,PNGASEUUSDM_10,PPOILUSDM_10,Electricity_10,PNGASEUUSDM_11,PPOILUSDM_11,Electricity_11,PNGASEUUSDM_12,PPOILUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
12,False,True,2016,1,2016-01-31,anionic surfactant,1.2349999999999999,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,7.3,606.404488474595,41.41,7.37,601.396540199212,42.56,7.39,591.787920473602,45.3,9.29,607.654865340564,43.95,9.29,634.378125181584,52.31,9.5,641.597233169228,56.88,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15,1.5000000000000002,1.31,1.3733333333333337,1.34,1.5000000000000002,1.3933333333333335
13,False,True,2016,2,2016-02-29,anionic surfactant,1.09,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,7.3,606.404488474595,41.41,7.37,601.396540199212,42.56,7.39,591.787920473602,45.3,9.29,607.654865340564,43.95,9.29,634.378125181584,52.31,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15,1.5000000000000002,1.31,1.3733333333333337,1.34,1.5000000000000002
14,False,True,2016,3,2016-03-31,anionic surfactant,1.2266666666666668,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,7.3,606.404488474595,41.41,7.37,601.396540199212,42.56,7.39,591.787920473602,45.3,9.29,607.654865340564,43.95,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15,1.5000000000000002,1.31,1.3733333333333337,1.34
15,False,True,2016,4,2016-04-30,anionic surfactant,1.3066666666666666,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,7.3,606.404488474595,41.41,7.37,601.396540199212,42.56,7.39,591.787920473602,45.3,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15,1.5000000000000002,1.31,1.3733333333333337
16,False,True,2016,5,2016-05-31,anionic surfactant,1.0821503875,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,7.3,606.404488474595,41.41,7.37,601.396540199212,42.56,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15,1.5000000000000002,1.31
17,False,True,2016,6,2016-06-30,anionic surfactant,1.21772031,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,7.3,606.404488474595,41.41,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15,1.5000000000000002
18,False,True,2016,7,2016-07-31,anionic surfactant,1.2741965758333336,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,6.68,575.682129641201,35.35,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335,1.15
19,False,True,2016,8,2016-08-31,anionic surfactant,1.0702776374382716,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,6.66,484.677591320546,38.8,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395,1.3833333333333335
20,False,True,2016,9,2016-09-30,anionic surfactant,1.2210299056296297,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,6.49,483.487307650792,53.37,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335,1.395
21,False,True,2016,10,2016-10-31,anionic surfactant,1.0547663520987653,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,6.01,530.246639789742,49.48,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09,1.3233333333333335
22,False,True,2016,11,2016-11-30,anionic surfactant,1.3038512183333333,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,5.87,503.163620012229,49.75,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09,1.09
23,False,True,2016,12,2016-12-31,anionic surfactant,1.3042589425,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,5.81,520.602567605653,48.38,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999,1.09
24,False,True,2017,1,2017-01-31,anionic surfactant,1.198277139618367,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,5.09,531.619442572607,41.42,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09,1.2349999999999999
25,False,True,2017,2,2017-02-28,anionic surfactant,1.264582719282781,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,4.79,595.900683226908,38.14,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668,1.09
26,False,True,2017,3,2017-03-31,anionic surfactant,1.3048539014267382,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,4.09,633.067782763729,28.95,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666,1.2266666666666668
