,SITE,SUPPLIER NUMBER,PURCHASE NUMBER,POSTING DATE,Group Description,Key RM code,WEIGHT (kg),PRICE (EUR/kg)
0,CHBE,600558,PI23100830,2023-10-31T00:00:00.0000000,fatty acid,RM14/0001,1818,1.2983003300330034
1,UNX,2891,20230034322,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,21857.24403015513,0.3808867309398344
2,CHIT,464010,23-ITUE074,2023-10-31T00:00:00.0000000,builder,RM20/0020,27340.000000000004,0.7899999999999998
3,CHBE,602656,PI23100732,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,172382,0.25
4,CHES,400076,FP23-04101,2023-10-31T00:00:00.0000000,Alkalis,RM02/0002,24000,0.56
5,CFH UK,500521,PINV34586,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,27440,0.3458897999999999
6,CHBE,600025,PI23100731,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,28880,0.297
7,PLIWA,830075,PI2310093,2023-10-31T00:00:00.0000000,non-ionic surfactant,RM12/0012,7200,4.055
8,EUROSANEX,400992,FP23-04100,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,24460,0.308
9,CHIT,488930,23-IT1249,2023-10-31T00:00:00.0000000,builder,RM20/0001,7479.999999999996,1.4800000000000002
10,CHBE,600347,PI23100709,2023-10-31T00:00:00.0000000,solvent,RM08/0017,24820,1.125
11,CUK,502381,PINV123239,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,27840,0.353960562
12,CHBE,601003,PI23100865,2023-10-31T00:00:00.0000000,non-ionic surfactant,RM12/0012,4,2.5
13,CHES,400138,FP23-04129,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,25740,0.1699999999999999
14,CHBE,601667,PI23100711,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,28680,0.3
15,CHCZ,27494942,100235039,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,1204,0.3435852
16,CHCZ,27494942,100235039,2023-10-31T00:00:00.0000000,builder,RM20/0020,1316,0.9653108
17,CHBE,601046,PI23100706,2023-10-31T00:00:00.0000000,acid,RM01/0001,24940,0.65
18,CHES,400138,FP23-04131,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,24740,0.17
19,CHCZ,27494942,100235039,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,1209,0.3435852
20,CHES,400992,FP23-04141,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,23840,0.308
21,CHIT,466630,23-IT1279,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,28000,0.2531639285714285
22,CHES,400992,FP23-04135,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,23860,0.308
23,CHIT,494030,23-IT1285,2023-10-31T00:00:00.0000000,Alkalis,RM02/0002,28040.000000000004,0.5799999999999998
24,CHBE,600848,PI23100714,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0001,27960,0.34
25,CFH UK,500709,PINV34585,2023-10-31T00:00:00.0000000,acid,RM01/0007,27640,0.2622534628198263
26,CHES,400138,FP23-04132,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,16249.999999999998,0.17
27,CUK,500049,PINV123301,2023-10-31T00:00:00.0000000,anionic surfactant,RM10/0001,4000,0.91084314
28,CHCZ,27494942,100235039,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,1247,0.3435852
29,CHES,400138,FP23-04130,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,15640.000000000002,0.1699999999999999
30,CHES,400992,FP23-04133,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,25020,0.308
31,EUROSANEX,400138,FP23-04111,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,7500,0.17
32,CHCZ,27494942,100235039,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0006,1249,0.3435852
33,CHES,400050,FP23-04097,2023-10-31T00:00:00.0000000,Bleaching agent,RM04/0001,9020,0.47
34,CHIT,487190,23-IT1292,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,111200,0.25
35,CUK,500292,PINV123516,2023-10-31T00:00:00.0000000,anionic surfactant,RM10/0002,10000,2.00039601
36,CHES,400992,FP23-04134,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,23780,0.308
37,CHBE,605684,PI23100804,2023-10-31T00:00:00.0000000,Alkalis,RM02/0001,28220,0.3
