,Year,Month,Electricity
0,2010,1,46.29
1,2011,1,56.66
2,2012,1,56.13
3,2013,1,62.04
4,2014,1,56.01
5,2015,1,56.88
6,2016,1,41.42
7,2017,1,64.31
8,2018,1,58.38
9,2019,1,92.01
10,2020,1,53.7
11,2021,1,47.18
12,2022,1,236.2
13,2023,1,364.42
14,2010,2,44.96
15,2011,2,57.72
16,2012,2,52.36
17,2013,2,58.72
18,2014,2,56.76
19,2015,2,52.31
20,2016,2,38.14
21,2017,2,49.1
22,2018,2,55.31
23,2019,2,77.19
24,2020,2,46.73
25,2021,2,56.1
26,2022,2,317.22
27,2023,2,243.88
28,2010,3,40.54
29,2011,3,51.43
30,2012,3,48.42
31,2013,3,47.8
32,2014,3,46.85
33,2015,3,43.95
34,2016,3,28.95
35,2017,3,46.83
36,2018,3,42.08
37,2019,3,53.45
38,2020,3,35.49
39,2021,3,50.87
40,2022,3,195.07
41,2023,3,146.76
42,2010,4,36.8
43,2011,4,50.79
44,2012,4,45.6
45,2013,4,46.86
46,2014,4,38.89
47,2015,4,45.3
48,2016,4,25.25
49,2017,4,38.91
50,2018,4,39.89
51,2019,4,44.12
52,2020,4,30.54
53,2021,4,44.17
54,2022,4,277.19
55,2023,4,124.86
56,2010,5,33.88
57,2011,5,56.54
58,2012,5,41.06
59,2013,5,45.52
60,2014,5,36.92
61,2015,5,42.56
62,2016,5,23.64
63,2017,5,32.56
64,2018,5,36.2
65,2019,5,40.75
66,2020,5,19.9
67,2021,5,46.58
68,2022,5,239.17
69,2023,5,111.39
70,2010,6,45.23
71,2011,6,53.5
72,2012,6,39.96
73,2013,6,46.3
74,2014,6,39.06
75,2015,6,41.41
76,2016,6,24.61
77,2017,6,33.51
78,2018,6,44.5
79,2019,6,42.17
80,2020,6,24.62
81,2021,6,58.44
82,2022,6,210.12
83,2023,6,101.31
84,2010,7,47.54
85,2011,7,56.97
86,2012,7,39.57
87,2013,7,31.46
88,2014,7,36.76
89,2015,7,35.35
90,2016,7,26.04
91,2017,7,34.86
92,2018,7,49.36
93,2019,7,38.9
94,2020,7,25.98
95,2021,7,65.07
96,2022,7,190.73
97,2023,7,87.58
98,2010,8,44.26
99,2011,8,46.25
100,2012,8,35.78
101,2013,8,30.13
102,2014,8,33.93
103,2015,8,38.8
104,2016,8,26.62
105,2017,8,32.43
106,2018,8,54.18
107,2019,8,36.8
108,2020,8,31.8
109,2021,8,77.7
110,2022,8,310.12
111,2023,8,96.46
112,2010,9,48.37
113,2011,9,51.48
114,2012,9,44.03
115,2013,9,40.65
116,2014,9,40.29
117,2015,9,53.37
118,2016,9,33.32
119,2017,9,35.6
120,2018,9,69.08
121,2019,9,42.16
122,2020,9,37.58
123,2021,9,92.46
124,2022,9,390.53
125,2023,9,89.17
126,2010,10,52.49
127,2011,10,62.85
128,2012,10,54.93
129,2013,10,47.11
130,2014,10,53.74
131,2015,10,49.48
132,2016,10,35.49
133,2017,10,43.73
134,2018,10,79.88
135,2019,10,44.3
136,2020,10,44.16
137,2021,10,114.54
138,2022,10,501.92
139,2023,10,101.92
140,2010,11,53.37
141,2011,11,64.04
142,2012,11,57.05
143,2013,11,53.04
144,2014,11,66.55
145,2015,11,49.75
146,2016,11,49.21
147,2017,11,57.07
148,2018,11,154.27
149,2019,11,54.86
150,2020,11,48.65
151,2021,11,195.42
152,2022,11,443.17
153,2023,11,115.07
154,2010,12,49.04
155,2011,12,59.75
156,2012,12,57.58
157,2013,12,52.07
158,2014,12,57.6
159,2015,12,48.38
160,2016,12,71.85
161,2017,12,56.42
162,2018,12,89.86
163,2019,12,50.99
164,2020,12,43.44
165,2021,12,182.32
166,2022,12,311.82
167,2023,12,112.54
