,RM04/0001,RM04/0006,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
12,False,True,2016,1,2016-01-31,bleaching agent,0.13008913715236511,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,9.29,52.31,9.5,56.88,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11,0.128,0.1325,0.1325,0.1325,0.128,0.1325
13,False,True,2016,2,2016-02-29,bleaching agent,0.11,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,9.29,52.31,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11,0.128,0.1325,0.1325,0.1325,0.128
14,False,True,2016,3,2016-03-31,bleaching agent,0.12249999999999997,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,9.29,43.95,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11,0.128,0.1325,0.1325,0.1325
15,False,True,2016,4,2016-04-30,bleaching agent,0.12383333333333334,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,7.39,45.3,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11,0.128,0.1325,0.1325
16,False,True,2016,5,2016-05-31,bleaching agent,0.12728571428571428,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,7.37,42.56,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11,0.128,0.1325
17,False,True,2016,6,2016-06-30,bleaching agent,0.12266666666666665,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,7.3,41.41,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11,0.128
18,False,True,2016,7,2016-07-31,bleaching agent,0.14024999999999999,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,6.68,35.35,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286,0.11
19,False,True,2016,8,2016-08-31,bleaching agent,0.12266666666666666,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,6.66,38.8,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146,0.12285714285714286
20,False,True,2016,9,2016-09-30,bleaching agent,0.12966666666666668,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,6.49,53.37,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325,0.146
21,False,True,2016,10,2016-10-31,bleaching agent,0.129,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,6.01,49.48,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286,0.1325
22,False,True,2016,11,2016-11-30,bleaching agent,0.11949999999999998,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,5.87,49.75,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11,0.12285714285714286
23,False,True,2016,12,2016-12-31,bleaching agent,0.1252,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,5.09,41.42,5.81,48.38,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11,0.13008913715236511,0.11
