,RM08/0010,RM08/0017,Year,Month,Time,Group Description,Average_price,PPOILUSDM_1,PPOILUSDM_2,PPOILUSDM_3,PPOILUSDM_4,PPOILUSDM_5,PPOILUSDM_6,PPOILUSDM_7,PPOILUSDM_8,PPOILUSDM_9,PPOILUSDM_10,PPOILUSDM_11,PPOILUSDM_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
13,False,True,2016,1,2016-01-31,solvent,1.031,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,606.404488474595,601.396540199212,591.787920473602,607.654865340564,634.378125181584,641.597233169228,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152,1.0299999999999998,1.25,1.22,1.19,1.19,1.25
14,False,True,2016,2,2016-02-29,solvent,1.031,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,606.404488474595,601.396540199212,591.787920473602,607.654865340564,634.378125181584,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152,1.0299999999999998,1.25,1.22,1.19,1.19
15,False,True,2016,3,2016-03-31,solvent,1.017,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,606.404488474595,601.396540199212,591.787920473602,607.654865340564,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152,1.0299999999999998,1.25,1.22,1.19
16,False,True,2016,4,2016-04-30,solvent,1.0165,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,606.404488474595,601.396540199212,591.787920473602,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152,1.0299999999999998,1.25,1.22
17,False,True,2016,5,2016-05-31,solvent,1.016,680.375486749158,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,606.404488474595,601.396540199212,1.0165,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152,1.0299999999999998,1.25
18,False,True,2016,6,2016-06-30,solvent,1.0146,644.564789449039,680.375486749158,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,606.404488474595,1.016,1.0165,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152,1.0299999999999998
19,False,True,2016,7,2016-07-31,solvent,1.0096666666666667,618.453034128718,644.564789449039,680.375486749158,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,575.682129641201,1.0146,1.016,1.0165,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035,1.152
20,False,True,2016,8,2016-08-31,solvent,1.0085,584.190132904984,618.453034128718,644.564789449039,680.375486749158,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,484.677591320546,1.0096666666666667,1.0146,1.016,1.0165,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035,1.035
21,False,True,2016,9,2016-09-30,solvent,1.0053999999999998,664.377119626144,584.190132904984,618.453034128718,644.564789449039,680.375486749158,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,483.487307650792,1.0085,1.0096666666666667,1.0146,1.016,1.0165,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998,1.035
22,False,True,2016,10,2016-10-31,solvent,0.9862499999999998,692.406658440732,664.377119626144,584.190132904984,618.453034128718,644.564789449039,680.375486749158,633.067782763729,595.900683226908,531.619442572607,520.602567605653,503.163620012229,530.246639789742,1.0053999999999998,1.0085,1.0096666666666667,1.0146,1.016,1.0165,1.017,1.031,1.031,1.0533333333333335,1.0575,1.0699999999999998
