,SITE,SUPPLIER NUMBER,PURCHASE NUMBER,POSTING DATE,Group Description,Key RM code,WEIGHT (kg),PRICE (EUR/kg)
0,CHBE,600025,PI24030316,2024-03-20T00:00:00.0000000,Alkalis,RM02/0001,28680.0,0.275
1,CHBE,602572,PI24030313,2024-03-20T00:00:00.0000000,non-ionic surfactant,RM12/0002,24140.0,1.6269999999999998
2,CHBE,600025,PI24030315,2024-03-20T00:00:00.0000000,Alkalis,RM02/0001,240.0,0.275
3,CHBE,605684,PI24030314,2024-03-20T00:00:00.0000000,Alkalis,RM02/0001,29000.0,0.275
4,CHBE,600025,PI24030311,2024-03-20T00:00:00.0000000,Alkalis,RM02/0001,28160.0,0.275
5,CHBE,601046,PI24030244,2024-03-19T00:00:00.0000000,acid,RM01/0001,25020.0,0.58
6,CHBE,600848,PI24030230,2024-03-19T00:00:00.0000000,Bleaching agent,RM04/0001,27720.0,0.325
7,CHBE,600848,PI24030309,2024-03-19T00:00:00.0000000,Bleaching agent,RM04/0001,27240.0,0.325
8,CHBE,602923,PI24030242,2024-03-19T00:00:00.0000000,non-ionic surfactant,RM12/0005,19940.0,1.828
9,CHBE,601046,PI24030235,2024-03-19T00:00:00.0000000,acid,RM01/0001,24940.0,0.58
10,CHBE,600848,PI24030240,2024-03-19T00:00:00.0000000,Bleaching agent,RM04/0001,27680.0,0.325
11,CHBE,605684,PI24030243,2024-03-19T00:00:00.0000000,Bleaching agent,RM04/0006,28020.0,0.225
12,CHBE,601667,PI24030050,2024-03-18T00:00:00.0000000,Alkalis,RM02/0001,28360.0,0.272
13,CHBE,600435,PI24030214,2024-03-18T00:00:00.0000000,builder,RM20/0001,15000.0,1.3
14,CFH UK,500019,PINV37176,2024-03-18T00:00:00.0000000,Alkalis,RM02/0001,28080.0,0.3228761200000001
15,CHBE,601046,PI24030026,2024-03-15T00:00:00.0000000,acid,RM01/0001,24980.0,0.58
16,CHBE,600848,PI24030085,2024-03-15T00:00:00.0000000,Bleaching agent,RM04/0001,27700.0,0.325
17,CHBE,605684,PI24030059,2024-03-15T00:00:00.0000000,Alkalis,RM02/0001,28640.0,0.275
18,CHBE,600558,PI24030086,2024-03-15T00:00:00.0000000,fatty acid,RM14/0001,2068.0,1.2576015473887814
19,CHBE,601667,PI24030071,2024-03-15T00:00:00.0000000,acid,RM01/0007,5240.0,0.332
20,CHBE,601392,PI24030073,2024-03-15T00:00:00.0000000,Alkalis,RM02/0002,26980.0,0.542
21,CHBE,600848,PI24030034,2024-03-15T00:00:00.0000000,Bleaching agent,RM04/0001,27660.0,0.325
22,CHBE,602533,PI24030033,2024-03-15T00:00:00.0000000,acid,RM01/0001,27000.0,0.58683
23,CHBE,600848,PI24030030,2024-03-15T00:00:00.0000000,Bleaching agent,RM04/0001,27700.0,0.325
