,RM01/0001,RM01/0004,RM01/0006,RM01/0007,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,PWHEAMTUSDM_1,WPU0652013A_1,Electricity_1,PNGASEUUSDM_2,PWHEAMTUSDM_2,WPU0652013A_2,Electricity_2,PNGASEUUSDM_3,PWHEAMTUSDM_3,WPU0652013A_3,Electricity_3,PNGASEUUSDM_4,PWHEAMTUSDM_4,WPU0652013A_4,Electricity_4,PNGASEUUSDM_5,PWHEAMTUSDM_5,WPU0652013A_5,Electricity_5,PNGASEUUSDM_6,PWHEAMTUSDM_6,WPU0652013A_6,Electricity_6,PNGASEUUSDM_7,PWHEAMTUSDM_7,WPU0652013A_7,Electricity_7,PNGASEUUSDM_8,PWHEAMTUSDM_8,WPU0652013A_8,Electricity_8,PNGASEUUSDM_9,PWHEAMTUSDM_9,WPU0652013A_9,Electricity_9,PNGASEUUSDM_10,PWHEAMTUSDM_10,WPU0652013A_10,Electricity_10,PNGASEUUSDM_11,PWHEAMTUSDM_11,WPU0652013A_11,Electricity_11,PNGASEUUSDM_12,PWHEAMTUSDM_12,WPU0652013A_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
2,False,True,False,False,2016,1,2016-01-31,acid,0.4048,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,9.29,202.691426666667,100.1,43.95,9.29,201.74206877193,102.1,52.31,9.5,213.0214075,101.8,56.88,0.35799999999999993,0.35799999999999993,0.3594,0.4757142857142857,0.426,0.4625,0.45099999999999996,0.48600000000000004,0.4463333333333333,0.4772,0.44499999999999995,0.47533333333333333
3,True,False,False,False,2016,1,2016-01-31,acid,0.52801500936395,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,9.29,202.691426666667,100.1,43.95,9.29,201.74206877193,102.1,52.31,9.5,213.0214075,101.8,56.88,0.5428763615995604,0.5509168688090982,0.5493944410224076,0.558729990155046,0.5590982015391271,0.5588885378478945,0.5468428508264027,0.5506647619173035,0.5461849334155283,0.556,0.5586666666666668,0.5602777777777778
4,False,True,False,False,2016,2,2016-02-29,acid,0.4048,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,9.29,202.691426666667,100.1,43.95,9.29,201.74206877193,102.1,52.31,0.4048,0.35799999999999993,0.35799999999999993,0.3594,0.4757142857142857,0.426,0.4625,0.45099999999999996,0.48600000000000004,0.4463333333333333,0.4772,0.44499999999999995
5,True,False,False,False,2016,2,2016-02-29,acid,0.5322180133795339,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,9.29,202.691426666667,100.1,43.95,9.29,201.74206877193,102.1,52.31,0.52801500936395,0.5428763615995604,0.5509168688090982,0.5493944410224076,0.558729990155046,0.5590982015391271,0.5588885378478945,0.5468428508264027,0.5506647619173035,0.5461849334155283,0.556,0.5586666666666668
6,False,True,False,False,2016,3,2016-03-31,acid,0.35600000000000004,4.79,159.283795,84.7,38.14,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,9.29,202.691426666667,100.1,43.95,0.4048,0.4048,0.35799999999999993,0.35799999999999993,0.3594,0.4757142857142857,0.426,0.4625,0.45099999999999996,0.48600000000000004,0.4463333333333333,0.4772
7,True,False,False,False,2016,3,2016-03-31,acid,0.5369088587023058,4.79,159.283795,84.7,38.14,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,9.29,202.691426666667,100.1,43.95,0.5322180133795339,0.52801500936395,0.5428763615995604,0.5509168688090982,0.5493944410224076,0.558729990155046,0.5590982015391271,0.5588885378478945,0.5468428508264027,0.5506647619173035,0.5461849334155283,0.556
8,False,True,False,False,2016,4,2016-04-30,acid,0.39866212121212113,4.09,164.060471666667,83.8,28.95,4.79,159.283795,84.7,38.14,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,0.35600000000000004,0.4048,0.4048,0.35799999999999993,0.35799999999999993,0.3594,0.4757142857142857,0.426,0.4625,0.45099999999999996,0.48600000000000004,0.4463333333333333
9,True,False,False,False,2016,4,2016-04-30,acid,0.49813892988326497,4.09,164.060471666667,83.8,28.95,4.79,159.283795,84.7,38.14,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,7.39,195.931228253968,101.5,45.3,0.5369088587023058,0.5322180133795339,0.52801500936395,0.5428763615995604,0.5509168688090982,0.5493944410224076,0.558729990155046,0.5590982015391271,0.5588885378478945,0.5468428508264027,0.5506647619173035,0.5461849334155283
10,False,True,False,False,2016,5,2016-05-31,acid,0.41857142857142854,4.02,163.386837777778,85.7,25.25,4.09,164.060471666667,83.8,28.95,4.79,159.283795,84.7,38.14,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,0.39866212121212113,0.35600000000000004,0.4048,0.4048,0.35799999999999993,0.35799999999999993,0.3594,0.4757142857142857,0.426,0.4625,0.45099999999999996,0.48600000000000004
11,True,False,False,False,2016,5,2016-05-31,acid,0.4992550439738329,4.02,163.386837777778,85.7,25.25,4.09,164.060471666667,83.8,28.95,4.79,159.283795,84.7,38.14,5.09,164.611626666667,90.6,41.42,5.81,163.893455,92.7,48.38,5.87,157.804378947368,89.9,49.75,6.01,165.451481904762,91.5,49.48,6.49,164.06922015873,95.0,53.37,6.66,173.517591587302,94.0,38.8,6.68,199.21748,96.5,35.35,7.3,199.835441666667,102.4,41.41,7.37,193.216571166667,102.9,42.56,0.49813892988326497,0.5369088587023058,0.5322180133795339,0.52801500936395,0.5428763615995604,0.5509168688090982,0.5493944410224076,0.558729990155046,0.5590982015391271,0.5588885378478945,0.5468428508264027,0.5506647619173035
