,RM20/0001,RM20/0015,RM20/0020,Year,Month,Time,Group Description,Average_price,WPU01130232_1,PMAIZMTUSDM_1,WPU07110224_1,WPU065202_1,WPU01130232_2,PMAIZMTUSDM_2,WPU07110224_2,WPU065202_2,WPU01130232_3,PMAIZMTUSDM_3,WPU07110224_3,WPU065202_3,WPU01130232_4,PMAIZMTUSDM_4,WPU07110224_4,WPU065202_4,WPU01130232_5,PMAIZMTUSDM_5,WPU07110224_5,WPU065202_5,WPU01130232_6,PMAIZMTUSDM_6,WPU07110224_6,WPU065202_6,WPU01130232_7,PMAIZMTUSDM_7,WPU07110224_7,WPU065202_7,WPU01130232_8,PMAIZMTUSDM_8,WPU07110224_8,WPU065202_8,WPU01130232_9,PMAIZMTUSDM_9,WPU07110224_9,WPU065202_9,WPU01130232_10,PMAIZMTUSDM_10,WPU07110224_10,WPU065202_10,WPU01130232_11,PMAIZMTUSDM_11,WPU07110224_11,WPU065202_11,WPU01130232_12,PMAIZMTUSDM_12,WPU07110224_12,WPU065202_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
14,False,False,True,2016,1,2016-01-31,builder,0.725,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,146.2,166.813860714286,156.3,241.2,151.4,166.350389464286,153.2,240.2,146.8,172.151577040816,153.7,245.2,146.6,174.293821428571,154.5,241.3,144.7,173.758865789474,156.4,236.6,141.2,174.794871428571,164.8,230.9,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375,0.7350000000000001,0.7599999999999999,0.79,0.8649999999999999,0.7999999999999999,0.83
15,False,False,True,2016,2,2016-02-29,builder,0.8068509741969457,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,146.2,166.813860714286,156.3,241.2,151.4,166.350389464286,153.2,240.2,146.8,172.151577040816,153.7,245.2,146.6,174.293821428571,154.5,241.3,144.7,173.758865789474,156.4,236.6,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375,0.7350000000000001,0.7599999999999999,0.79,0.8649999999999999,0.7999999999999999
16,False,False,True,2016,3,2016-03-31,builder,0.7616666666666667,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,146.2,166.813860714286,156.3,241.2,151.4,166.350389464286,153.2,240.2,146.8,172.151577040816,153.7,245.2,146.6,174.293821428571,154.5,241.3,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375,0.7350000000000001,0.7599999999999999,0.79,0.8649999999999999
17,False,False,True,2016,4,2016-04-30,builder,0.6633333333333334,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,146.2,166.813860714286,156.3,241.2,151.4,166.350389464286,153.2,240.2,146.8,172.151577040816,153.7,245.2,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375,0.7350000000000001,0.7599999999999999,0.79
18,False,False,True,2016,5,2016-05-31,builder,0.64,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,146.2,166.813860714286,156.3,241.2,151.4,166.350389464286,153.2,240.2,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375,0.7350000000000001,0.7599999999999999
19,False,False,True,2016,6,2016-06-30,builder,0.62,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,146.2,166.813860714286,156.3,241.2,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375,0.7350000000000001
20,False,False,True,2016,7,2016-07-31,builder,0.633,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,145.9,179.608530357143,158.9,223.2,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775,0.80375
21,False,False,True,2016,8,2016-08-31,builder,0.633,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,157.0,162.74069914966,157.7,224.2,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001,0.7775
22,False,False,True,2016,9,2016-09-30,builder,0.655,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,141.1,166.077623979592,158.4,224.8,0.633,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001,0.7675000000000001
23,False,False,True,2016,10,2016-10-31,builder,0.605,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,152.2,171.448573214286,157.2,221.4,0.655,0.633,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75,0.8150000000000001
24,False,False,True,2016,11,2016-11-30,builder,0.6585487353485502,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,142.4,164.004401785714,152.7,212.3,146.9,166.09242406015,154.5,216.1,0.605,0.655,0.633,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725,0.88,0.75
26,False,False,True,2017,1,2017-01-20,builder,0.6,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,150.6,161.098876879699,150.7,206.8,0.69,0.6585487353485502,0.605,0.655,0.633,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457,0.725
27,False,False,True,2017,2,2017-02-28,builder,0.5949999999999999,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,150.6,159.716845357143,148.5,194.3,0.6,0.69,0.6585487353485502,0.605,0.655,0.633,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667,0.8068509741969457
28,False,False,True,2017,3,2017-03-31,builder,0.595,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,150.6,159.226532142857,148.0,197.8,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655,0.633,0.633,0.62,0.64,0.6633333333333334,0.7616666666666667
29,False,False,True,2017,4,2017-04-30,builder,0.6150000000000001,106.5,158.979119254658,189.8,179.9,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,150.6,164.465401870748,150.1,200.9,0.595,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655,0.633,0.633,0.62,0.64,0.6633333333333334
30,False,False,True,2017,5,2017-05-31,builder,0.635,106.5,156.540452067669,186.4,186.8,106.5,158.979119254658,189.8,179.9,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,93.0,169.002119897959,151.4,198.7,0.6150000000000001,0.595,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655,0.633,0.633,0.62,0.64
31,False,False,True,2017,6,2017-06-30,builder,0.657,106.5,158.600219642857,170.7,187.9,106.5,156.540452067669,186.4,186.8,106.5,158.979119254658,189.8,179.9,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,110.7,179.912739285714,153.4,196.9,0.635,0.6150000000000001,0.595,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655,0.633,0.633,0.62
32,False,False,True,2017,7,2017-07-31,builder,0.6139999999999999,102.5,157.973907142857,168.5,184.0,106.5,158.600219642857,170.7,187.9,106.5,156.540452067669,186.4,186.8,106.5,158.979119254658,189.8,179.9,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,88.8,161.823044821429,153.3,179.4,0.657,0.635,0.6150000000000001,0.595,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655,0.633,0.633
33,False,False,True,2017,8,2017-08-31,builder,0.613,106.1,157.610645892857,158.7,177.3,102.5,157.973907142857,168.5,184.0,106.5,158.600219642857,170.7,187.9,106.5,156.540452067669,186.4,186.8,106.5,158.979119254658,189.8,179.9,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,90.8,150.21541242236,152.7,177.7,0.6139999999999999,0.657,0.635,0.6150000000000001,0.595,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655,0.633
34,False,False,True,2017,9,2017-09-30,builder,0.613,112.7,148.543430357143,155.1,174.3,106.1,157.610645892857,158.7,177.3,102.5,157.973907142857,168.5,184.0,106.5,158.600219642857,170.7,187.9,106.5,156.540452067669,186.4,186.8,106.5,158.979119254658,189.8,179.9,106.5,162.962535912698,179.4,175.8,106.5,160.012106964286,164.4,175.5,106.5,152.729924659864,160.1,173.6,106.5,151.331415714286,159.8,178.2,110.7,152.617444047619,156.7,179.1,106.5,148.51190170068,155.0,177.8,0.613,0.6139999999999999,0.657,0.635,0.6150000000000001,0.595,0.5949999999999999,0.6,0.69,0.6585487353485502,0.605,0.655
